"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"67",67089,-16.91863,145.76443,"PP26",0,2013-01-08,2013-01-15,TRUE,25,31,25,25,16,0,31,31,20,0,7,14,7
"68",21693,-16.91975,145.76381,"PP27",0,2013-01-08,2013-01-15,TRUE,14,9,14,14,6,0,8,8,2,0,7,14,7
"69",35627,-16.91646,145.75845,"PP21",0,2013-01-08,2013-01-15,TRUE,4,2,4,4,0,0,2,2,1,0,7,14,7
"70",53343,-16.91735,145.76202,"PP29",0,2013-01-08,2013-01-15,TRUE,17,22,18,18,0,0,22,22,0,0,7,14,7
"71",26687,-16.92112,145.76051,"PP12",0,2013-01-08,2013-01-15,TRUE,34,63,34,34,5,0,63,63,9,0,7,14,7
"72",623,-16.92215,145.76311,"PP31",0,2013-01-08,2013-01-15,TRUE,15,8,15,15,3,0,8,8,1,0,7,14,7
"73",55377,-16.91715,145.76301,"PP28",0,2013-01-08,2013-01-15,TRUE,0,1,NA,NA,NA,NA,1,1,0,0,7,14,7
"74",619,-16.92303,145.76327,"PP08",0,2013-01-08,2013-01-15,TRUE,15,10,15,15,4,0,11,11,1,0,7,14,7
"75",12036,-16.92137,145.76194,"PP13",0,2013-01-08,2013-01-15,TRUE,16,13,16,16,6,0,13,13,5,0,7,14,7
"76",23970,-16.9205,145.7664,"PP01",0,2013-01-08,2013-01-15,TRUE,56,20,54,54,19,0,20,20,7,0,7,14,7
"77",13424,-16.91982,145.7657,"PP02",0,2013-01-08,2013-01-15,TRUE,2,0,2,2,2,0,NA,NA,NA,NA,7,14,7
"78",36629,-16.92062,145.76477,"PP03",0,2013-01-08,2013-01-15,TRUE,7,2,6,6,3,0,2,2,2,0,7,14,7
"79",26646,-16.92096,145.76434,"PP04",0,2013-01-08,2013-01-15,TRUE,1,0,1,1,0,0,NA,NA,NA,NA,7,14,7
"80",643,-16.92186,145.76408,"PP05",0,2013-01-08,2013-01-15,TRUE,6,7,6,6,2,0,7,7,3,0,7,14,7
"81",427,-16.91646,145.75903,"PP22",0,2013-01-08,2013-01-15,TRUE,5,5,5,5,1,0,4,4,2,0,7,14,7
"82",626,-16.92237,145.7633,"PP07",0,2013-01-08,2013-01-15,TRUE,13,8,11,11,3,0,8,8,3,0,7,14,7
"83",435,-16.91749,145.75932,"PP20-1",0,2013-01-08,2013-01-15,TRUE,25,14,25,25,6,0,14,14,4,0,7,14,7
"84",602,-16.92344,145.76225,"PP09",0,2013-01-08,2013-01-15,TRUE,9,10,9,9,3,0,10,10,6,0,7,14,7
"85",573,-16.92339,145.76163,"PP10",0,2013-01-08,2013-01-15,TRUE,7,3,7,7,3,0,4,4,2,0,7,14,7
"86",6511,-16.92036,145.76231,"PP14",0,2013-01-08,2013-01-15,TRUE,24,23,24,24,7,0,23,23,6,0,7,14,7
"87",44074,-16.92359,145.76091,"PP15-1",0,2013-01-08,2013-01-15,TRUE,5,1,5,5,0,0,1,1,0,0,7,14,7
"88",35611,-16.92006,145.76126,"PP16",0,2013-01-08,2013-01-15,TRUE,2,0,2,2,2,0,NA,NA,NA,NA,7,14,7
"89",478,-16.91868,145.76137,"PP17",0,2013-01-08,2013-01-15,TRUE,9,1,8,8,2,0,1,1,0,0,7,14,7
"90",507,-16.91866,145.75994,"PP19",0,2013-01-08,2013-01-15,TRUE,14,4,13,13,3,0,4,4,2,0,7,14,7
"91",651,-16.92109,145.76342,"PP06",0,2013-01-08,2013-01-15,TRUE,12,3,12,12,1,0,3,3,2,0,7,14,7
"92",494,-16.91929,145.76012,"PP18",0,2013-01-08,2013-01-15,TRUE,22,47,22,22,7,0,46,46,10,0,7,14,7
"93",900029,-16.91801,145.76245,"PP44",0,2013-01-08,2013-01-15,TRUE,21,11,19,19,0,0,11,11,1,0,7,14,7
"94",623,-16.92215,145.76311,"PP31",0,2013-01-15,2013-01-22,TRUE,5,3,5,5,0,0,3,3,0,0,14,21,7
"95",55377,-16.91715,145.76301,"PP28",0,2013-01-15,2013-01-22,TRUE,3,3,3,3,1,0,3,3,0,0,14,21,7
"96",53343,-16.91735,145.76202,"PP29",0,2013-01-15,2013-01-22,TRUE,6,10,6,6,0,0,10,10,0,0,14,21,7
"97",47501,-16.91546,145.76033,"PP30",0,2013-01-15,2013-01-22,TRUE,7,0,7,7,1,0,NA,NA,NA,NA,14,21,7
"98",21693,-16.91975,145.76381,"PP27",0,2013-01-15,2013-01-22,TRUE,7,3,7,7,3,0,3,3,2,0,14,21,7
"99",900029,-16.91801,145.76245,"PP44",0,2013-01-15,2013-01-22,TRUE,12,6,12,12,0,0,6,6,1,0,14,21,7
"100",494,-16.91929,145.76012,"PP18",0,2013-01-15,2013-01-22,TRUE,7,26,7,7,2,0,26,26,3,0,14,21,7
"101",35611,-16.92006,145.76126,"PP16",0,2013-01-15,2013-01-22,TRUE,1,3,1,1,1,0,3,3,1,0,14,21,7
"102",602,-16.92344,145.76225,"PP09",0,2013-01-15,2013-01-22,TRUE,12,4,12,12,7,0,4,4,2,0,14,21,7
"103",23970,-16.9205,145.7664,"PP01",0,2013-01-15,2013-01-22,TRUE,9,3,9,8,4,0,3,3,1,0,14,21,7
"104",13424,-16.91982,145.7657,"PP02",0,2013-01-15,2013-01-22,TRUE,10,1,10,10,5,0,1,1,0,0,14,21,7
"105",36629,-16.92062,145.76477,"PP03",0,2013-01-15,2013-01-22,TRUE,8,1,8,8,4,0,1,1,0,0,14,21,7
"106",26646,-16.92096,145.76434,"PP04",0,2013-01-15,2013-01-22,TRUE,1,0,1,1,0,0,NA,NA,NA,NA,14,21,7
"107",643,-16.92186,145.76408,"PP05",0,2013-01-15,2013-01-22,TRUE,1,2,1,1,0,0,1,1,1,0,14,21,7
"108",651,-16.92109,145.76342,"PP06",0,2013-01-15,2013-01-22,TRUE,8,0,8,8,2,0,NA,NA,NA,NA,14,21,7
"109",626,-16.92237,145.7633,"PP07",0,2013-01-15,2013-01-22,TRUE,8,4,8,8,3,0,4,4,2,0,14,21,7
"110",22950,-16.91897,145.76313,"PP25",0,2013-01-15,2013-01-22,TRUE,14,3,13,13,6,0,3,3,0,0,14,21,7
"111",44074,-16.92359,145.76091,"PP15-1",0,2013-01-15,2013-01-22,TRUE,1,0,1,1,0,0,NA,NA,NA,NA,14,21,7
"112",67089,-16.91863,145.76443,"PP26",0,2013-01-15,2013-01-22,TRUE,6,0,6,6,5,0,NA,NA,NA,NA,14,21,7
"113",573,-16.92339,145.76163,"PP10",0,2013-01-15,2013-01-22,TRUE,4,4,4,4,1,0,4,4,1,0,14,21,7
"114",23463,-16.91717,145.76106,"PP11-1",0,2013-01-15,2013-01-22,TRUE,10,2,10,10,3,0,2,2,1,0,14,21,7
"115",435,-16.91749,145.75932,"PP20-1",0,2013-01-15,2013-01-22,TRUE,13,15,13,13,3,0,16,16,4,0,14,21,7
"116",478,-16.91868,145.76137,"PP17",0,2013-01-15,2013-01-22,TRUE,15,0,15,15,8,0,NA,NA,NA,NA,14,21,7
