"GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop"
651,"-16.92109","145.76342","PP06",0.00,13/11/2012 0:00:00,20/11/2012 0:00:00,"OK",10,3,,,,,,,,
602,"-16.92344","145.76225","PP09",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",15,7,,,,,,,,
450,"-16.91655","145.75955","PP23",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",12,0,,,,,,,,
507,"-16.91866","145.75994","PP19",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",5,2,,,,,,,,
12036,"-16.92137","145.76194","PP13",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",11,17,,,,,,,,
6511,"-16.92036","145.76231","PP14",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",15,9,,,,,,,,
564,"-16.92397","145.7618","PP15",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",1,0,,,,,,,,
35611,"-16.92006","145.76126","PP16",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",3,1,,,,,,,,
478,"-16.91868","145.76137","PP17",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",10,1,,,,,,,,
494,"-16.91929","145.76012","PP18",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",16,27,,,,,,,,
669,"-16.92164","145.76256","PP11",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",34,19,,,,,,,,
435,"-16.91749","145.75932","PP20-1",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",8,4,,,,,,,,
619,"-16.92303","145.76327","PP08",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",4,7,,,,,,,,
427,"-16.91646","145.75903","PP22",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",1,2,,,,,,,,
573,"-16.92339","145.76163","PP10",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",7,14,,,,,,,,
