ID,gender,mateID,enzyme,age,gonoCycle,timeDeath,typeDeath,whereTrapped,motherID,fatherID,infStatus,releaseLoc,long,lat,gridID
13101,1,-1,1.322020901751085,24,1,3,0,-1,-1,-1,0,-1,145.767886620455,-16.917722947420977,2024
13125,0,-1,0.7817455219685427,22,0,3,0,-1,-1,-1,0,-1,145.76500272112813,-16.922923244965755,1758
13129,0,-1,0.9652360066886387,21,0,3,0,-1,-1,-1,0,-1,145.7698513182139,-16.92051520033429,2168
13133,1,-1,0.6827638276501886,24,1,3,0,-1,-1,-1,0,-1,145.75972460755415,-16.917892387336238,797
13145,0,-1,0.5982464343889944,23,0,3,0,-1,-1,-1,0,-1,145.76761830774046,-16.920339678854265,1993
13148,0,-1,0.8692964756976209,24,0,3,0,-1,-1,-1,0,-1,145.75798255913259,-16.915939217991742,477
13161,1,-1,0.6045123575370155,24,1,3,0,-1,-1,-1,0,-1,145.76107496271965,-16.91837380973485,1099
13191,0,-1,0.9336328228584818,22,0,3,0,-1,-1,-1,0,-1,145.7537492569218,-16.91390484199735,41
13192,0,-1,1.5559686768449237,22,0,3,0,-1,-1,-1,0,-1,145.76582476218,-16.922514632101162,1843
13201,1,-1,0.6393828740458332,27,1,3,0,-1,-1,-1,0,-1,145.76106750189092,-16.917282924081814,1103
13204,1,-1,1.093770604266166,22,1,3,0,-1,-1,-1,0,-1,145.75538045309557,-16.913692695156726,161
13220,0,-1,1.2018240568342946,23,0,3,0,-1,-1,-1,0,-1,145.7694743502114,-16.918189055545696,2144
13225,1,-1,1.4234391764386882,24,1,3,0,-1,-1,-1,0,-1,145.76245227396592,-16.913819731716902,1405
13273,0,-1,0.6365350421167306,24,0,3,0,-1,-1,-1,0,-1,145.76358919878223,-16.92255233018279,1612
13285,1,-1,1.4201688558443775,22,1,3,0,-1,-1,-1,0,-1,145.76758337457784,-16.92017276988992,1993
13286,0,-1,1.4097935777738084,24,0,3,0,-1,-1,-1,0,-1,145.76189944193013,-16.923116370741226,1253
13295,1,-1,0.6689789361900977,21,0,3,0,-1,-1,-1,0,-1,145.76495223685504,-16.92257099789969,1760
13318,1,-1,0.9257763295083634,20,0,3,0,-1,-1,-1,0,-1,145.76219017837096,-16.91911443972706,1327
13320,0,-1,1.1499017308581017,20,0,3,0,-1,-1,-1,0,-1,145.7692726645973,-16.919641474186527,2120
13354,1,-1,1.1642082814707748,23,1,3,0,-1,-1,-1,0,-1,145.75564091631247,-16.917121285520874,172
13367,0,-1,1.4218977712209662,25,0,3,0,-1,-1,-1,0,-1,145.76772881445117,-16.918991773150434,1998
13373,1,13671,1.1195206652975969,21,0,3,0,-1,-1,-1,0,-1,145.76375062478724,-16.92224179955257,1613
13387,1,-1,1.4262173566150804,25,1,3,0,-1,-1,-1,0,-1,145.76083485117044,-16.919427234820304,1040
13395,0,-1,1.2858635190989218,21,0,3,0,-1,-1,-1,0,-1,145.7568048473622,-16.91421203619676,331
13401,1,-1,1.1007240341625504,26,1,3,0,-1,-1,-1,0,-1,145.7587993649784,-16.918059760731865,652
13414,1,-1,0.6493843050322823,25,1,3,0,-1,-1,-1,0,-1,145.75839901859817,-16.91509833640303,568
13421,1,-1,1.0468929229884736,25,1,3,0,-1,-1,-1,0,-1,145.76356720619646,-16.919016616744354,1626
13462,1,-1,0.6188746028694652,23,1,3,0,-1,-1,-1,0,-1,145.7683849882824,-16.92009816897028,2056
13469,1,-1,0.6306545582249157,23,1,3,0,-1,-1,-1,0,-1,145.75997758432223,-16.91805896185083,844
13480,1,-1,0.6724615755140178,23,1,3,0,-1,-1,-1,0,-1,145.76747228353074,-16.918218330965797,1981
13483,0,-1,0.9162476720868937,21,0,3,0,-1,-1,-1,0,-1,145.76027016617647,-16.91886666938149,890
13513,1,-1,1.3041058098080895,24,1,3,0,-1,-1,-1,0,-1,145.7604079934006,-16.919162262449273,937
13522,0,-1,0.9563378660588853,18,0,3,0,-1,-1,-1,0,-1,145.76140449421717,-16.922099984897137,1140
13523,0,-1,1.4513314568086852,21,0,3,0,-1,-1,-1,0,-1,145.76734744315115,-16.91834705938141,1981
13564,0,-1,1.4444766535072913,22,0,3,0,-1,-1,-1,0,-1,145.76071627990814,-16.91539838533295,1004
13574,0,-1,0.860043527942463,24,0,3,0,-1,-1,-1,0,-1,145.75616468745793,-16.914275588473874,237
13575,1,-1,1.2704995394799254,23,1,3,0,-1,-1,-1,0,-1,145.76173334956238,-16.916221517534893,1222
13586,0,-1,0.6077570183317504,19,0,3,0,-1,-1,-1,0,-1,145.75893108326378,-16.916581415758692,658
13590,1,-1,0.978225278819292,21,0,3,0,-1,-1,-1,0,-1,145.7595746475397,-16.914462133379104,810
13608,1,3402,1.4173125039435317,21,0,3,0,-1,-1,-1,0,-1,145.7645100622417,-16.921782752975453,1711
13615,0,-1,0.894747292308449,23,0,3,0,-1,-1,-1,0,-1,145.76986485334726,-16.920272845370782,2169
13639,1,-1,0.8827626231707029,21,0,3,0,-1,-1,-1,0,-1,145.76366302712478,-16.91832798852541,1629
13667,1,9199,1.4027493599917134,21,0,3,0,-1,-1,-1,0,-1,145.76366671348686,-16.916638996301895,1633
13670,0,-1,1.1238191215436302,23,0,3,0,-1,-1,-1,0,-1,145.75451406734433,-16.915519372556574,77
13672,0,-1,1.5460710508398106,24,0,3,0,-1,-1,-1,0,-1,145.75895568747498,-16.91650672565782,658
13686,0,-1,1.0879113254252217,21,0,3,0,-1,-1,-1,0,-1,145.76629053694114,-16.92077668901683,1890
13691,0,-1,1.19935751931028,24,0,3,0,-1,-1,-1,0,-1,145.76591958404705,-16.920339628426067,1852
13759,1,-1,1.4641901102497568,22,1,3,0,-1,-1,-1,0,-1,145.76611843867363,-16.921004262833513,1869
13772,1,-1,0.8970976361654095,24,1,3,0,-1,-1,-1,0,-1,145.76085441605045,-16.911868827376217,1071
13797,1,-1,0.9303729619480066,22,1,3,0,-1,-1,-1,0,-1,145.7630722177046,-16.913359744769448,1558
13806,1,-1,1.1441753699093453,25,1,3,0,-1,-1,-1,0,-1,145.76820265899033,-16.919256041590042,2039
13823,1,-1,1.2450631031881414,20,0,3,0,-1,-1,-1,0,-1,145.7634555169322,-16.91808689415098,1589
13843,1,-1,1.5746181711203744,20,0,3,0,-1,-1,-1,0,-1,145.76351776656253,-16.91407811581731,1598
